t,An_0,fn_0,phi_0,On_0,En_0,gamma_0,G_0,In_0,error_0,S_contrib_0,An_1,fn_1,phi_1,On_1,En_1,gamma_1,G_1,In_1,error_1,S_contrib_1,An_2,fn_2,phi_2,On_2,En_2,gamma_2,G_2,In_2,error_2,S_contrib_2,An_3,fn_3,phi_3,On_3,En_3,gamma_3,G_3,In_3,error_3,S_contrib_3,An_4,fn_4,phi_4,On_4,En_4,gamma_4,G_4,In_4,error_4,S_contrib_4,An_5,fn_5,phi_5,On_5,En_5,gamma_5,G_5,In_5,error_5,S_contrib_5,An_6,fn_6,phi_6,On_6,En_6,gamma_6,G_6,In_6,error_6,S_contrib_6,An_7,fn_7,phi_7,On_7,En_7,gamma_7,G_7,In_7,error_7,S_contrib_7,An_8,fn_8,phi_8,On_8,En_8,gamma_8,G_8,In_8,error_8,S_contrib_8,An_9,fn_9,phi_9,On_9,En_9,gamma_9,G_9,In_9,error_9,S_contrib_9
0.0,1e-06,0.4,0.0,2.486898871648548e-07,0.671846,0.1,0.35356755789502825,0.1,0.6718457513101129,8.792867607806785e-08,1.7954312414979403e-06,0.6736,0.0,1.1213471966168713e-06,0.475858,0.1,0.2559048010174513,0.1,0.4758568786528034,2.8695813122171725e-07,1e-06,0.8949424,0.0,9.447633027003186e-07,0.583804,0.1,0.31049369077492356,0.1,0.5838030552366973,2.933430447641282e-07,7.630066806315318e-06,1.2740084016000002,0.0,6.814577821628349e-06,0.440647,0.1,0.23771617405539447,0.1,0.44064018542217837,1.6199353675602357e-06,1.1624611274907855e-05,1.6806727968944002,0.0,5.605541938379758e-07,0.434422,0.1,0.2344865287005969,0.1,0.43442143944580613,1.3144240706162846e-07,1e-06,2.05966429268757,0.0,-9.476791026996584e-07,0.670596,0.1,0.35296643214250023,0.1,0.6705969476791027,-3.344989116959045e-07,0.00011849484147660589,2.5162684127842443,0.0,-3.6676655498400316e-05,0.370922,0.1,0.20124260692272264,0.1,0.37095867665549837,-7.380905765704689e-06,2.725307240538015e-06,2.985661145942454,0.0,2.7251832377747804e-06,0.46028,0.1,0.24787976419991423,0.1,0.4602772748167622,6.755177783811713e-07,0.0001745529044502927,3.315399867067445,0.0,-8.411238832980467e-05,0.359828,0.1,0.19540598575334125,0.1,0.35991211238832976,-1.6436064155653317e-05,6.74310074336359e-05,3.8321584924575633,0.0,-1.5437423083734403e-05,0.388752,0.1,0.21062196112398524,0.1,0.38876743742308373,-3.2514603245968196e-06
0.1,1e-06,0.41000000000032094,0.004083398680156658,2.587172432699922e-07,0.6046614402380237,0.21301663830222847,0.3535692223716673,0.1,0.6046611815207804,9.147445451711263e-08,1.774762787285199e-05,0.6964777462831311,0.004452510550529297,1.142889618960463e-05,0.4282723814339764,0.21706934825506274,0.25581419244940273,0.1,0.4282609525377868,2.923673849331764e-06,1e-06,0.9189222652610446,0.004680610614042386,9.572315753420446e-07,0.5254237528627024,0.21580801530030322,0.3104577848305809,0.1,0.525422795631127,2.971799944505785e-07,5.382909210294938e-05,1.3098779990997478,0.004680610614042386,4.645768732007696e-05,0.3965834025986915,0.22590251132250144,0.2375943747914324,0.1,0.3965369449113714,1.103808517306954e-05,7.715284528145146e-05,1.723593986553387,0.004452510550529297,-3.1965207088042387e-06,0.39097989069766853,0.23180095666685052,0.2343871572878109,0.1,0.3909830872183773,-7.492234021482438e-07,1e-06,2.1297199751182787,0.004083398680156658,-9.817046056469353e-07,0.6035362466655212,0.2224490941198466,0.3529675999847227,0.1,0.6035372283701268,-3.465099185491474e-07,0.0004796881910518718,2.602638265962923,0.00371424396726034,-6.097548220116727e-05,0.33382386571714034,0.2994234559742953,0.20113295570049336,0.1,0.33388484119934153,-1.2264178960383598e-05,2.292112799282799e-05,3.074090949274231,0.003486074583294051,2.230162735135323e-05,0.41425244093464786,0.23107418493766443,0.24777732865737218,0.1,0.4142301393072965,5.52583764983049e-06,0.000644717109740358,3.4151675541900866,0.003486074583294051,-0.0004660885474096106,0.3238315906155682,0.3315037313751054,0.19550206766350134,0.1,0.3242976791629778,-9.112127473285674e-05,0.0003090581048462374,3.9442861175854285,0.00371424396726034,4.463956942502917e-05,0.34987430222494503,0.28183428767131147,0.21046890998435716,0.1,0.34982966265552,9.395241519056928e-06
0.2,1e-06,0.42239471668961365,0.008162767538810768,2.701619144753265e-07,0.5441953220859457,0.2605166180121355,0.3322717199706407,0.1,0.5441950519240312,8.976716399327787e-08,0.00010468813440183128,0.7247293858376214,0.008899764759989532,6.978673964164237e-05,0.3854462861801977,0.26854519287502643,0.23965554835421024,0.1,0.3853764994405561,1.6724779356670303e-05,2.484877350613503e-06,0.9483575322723831,0.009355065261835533,2.4107859448561454e-06,0.4728814732995897,0.2640105353888227,0.2913444575190835,0.1,0.4728790625136448,7.023691232987449e-07,0.00024643553496488666,1.3538564713372658,0.009355065261835533,0.0002025756847727172,0.35692970810755437,0.2811415589125076,0.22242089764584277,0.1,0.35672713242278165,4.5057065648369044e-05,0.00033792532828312463,1.776019873117767,0.008899764759989532,-5.066477262900284e-05,0.3518815819758308,0.28952070703517024,0.2195228149568519,0.1,0.3519322467484598,-1.1122073506667566e-05,1e-06,2.2155479248448753,0.008162767538810768,-9.99580481505109e-07,0.5431825238285085,0.27213033972949674,0.331699446356219,0.1,0.54318352340899,-3.3156029230372747e-07,0.0014036670334619252,2.708344120725183,0.007425427747732281,0.00014181153064489363,0.3004353815972062,0.36146093890897296,0.1880829213832446,0.1,0.30029357006656127,2.6672326969521108e-05,0.00012056118382509568,3.181837922403961,0.006969572962742622,0.00010407235146777334,0.37282942700391825,0.28581284435069726,0.23206246825011095,0.1,0.3727253546524505,2.415128675820454e-05,0.0017540916702776573,3.5364999800808468,0.006969572962742622,-0.0016221173042749338,0.29140182269927045,0.39044188345454495,0.18362530081569345,0.1,0.29302394000354537,-0.00029786177795582645,0.0010084614061040588,4.080438078890658,0.007425427747732281,0.0005719874050277981,0.314891335959393,0.34807465429287787,0.1966621664928216,0.1,0.3143193485543652,0.00011248828227937381
0.30000000000000004,1.6191626394128057e-06,0.42740280640774225,0.012234080731406883,4.4867709767580743e-07,0.48977582609562714,0.35381729382056104,0.319244145357704,0.1,0.48977537741852945,1.4323753658908824e-07,0.00043358583337770447,0.7365655195283688,0.013336512537428109,0.00029385676842710504,0.3469110132680178,0.37002608034480655,0.2304483744191142,0.1,0.34661715649959074,6.771881459608044e-05,2.1217854095545882e-05,0.9612753884156992,0.014017216200679172,2.0699718080911816e-05,0.4255936491628944,0.3590571698450455,0.29713116398483913,0.1,0.4255729494448135,6.150531327539349e-06,0.000834867211822785,1.3733870099901382,0.014017216200679172,0.0006689071143042369,0.3212638948703834,0.38851440124888476,0.2164822073801302,0.1,0.3205949877560792,0.00014480648863685427,0.0011008105542123323,1.799923600929407,0.013336512537428109,-0.00021969378242668326,0.3166866315894796,0.4010241755431752,0.21001508199440855,0.1,0.3169063253719063,-4.6139007730001636e-05,1.5358504454616295e-06,2.2542755169684106,0.012234080731406883,-1.534265944798426e-06,0.48886413744053014,0.36963269061565845,0.31966689926692493,0.1,0.48886567170647494,-4.904540372245519e-07,0.003326120192405898,2.756522600140398,0.011130493709469527,0.0006787246969189448,0.27041085488539424,0.48323756779129956,0.19424532709052938,0.1,0.2697321301884753,0.00013183910075744085,0.00045600088219735756,3.2323563248515477,0.010447920917660855,0.00035884238953090195,0.3355604363854175,0.39320107565391715,0.22601323958092795,0.1,0.3352015939958866,8.110313095684041e-05,0.003842626842644273,3.5943084606885747,0.010447920917660855,-0.00375147216368456,0.26204417716319206,0.5099139922364397,0.17666343667603362,0.1,0.2657956493268766,-0.0006627479650309901,0.002624328257677873,4.146009842715357,0.011130493709469527,0.0019127614988293188,0.2834788837779032,0.47497819699032284,0.18827213574234292,0.1,0.2815661222790739,0.0003601196925503208
0.4,1.5918001367476423e-05,0.4372213479189864,0.016293320363359554,4.567154777763389e-06,0.44079829806952686,0.5689761906704515,0.3556219521604406,0.1,0.4407937309147491,1.6241804978870999e-06,0.0013635959466291735,0.7591531508609064,0.017757516284647955,0.0009487201705783117,0.3122556608572088,0.6045690622481056,0.24377078152606452,0.1,0.3113069406866305,0.00023127025743141627,0.00011938494816859294,0.9850675946466615,0.018660932123852555,0.00011742404581094435,0.383036802454665,0.5788085083080191,0.29048690127803556,0.1,0.38291937840885404,3.411014720315132e-05,0.002241457035259893,1.4090540295153604,0.018660932123852555,0.0017088035802959316,0.2892188807566748,0.6345092479760516,0.2232927662240173,0.1,0.28751007717637883,0.00038156347837778326,0.0028325539527803327,1.842705039934657,0.017757516284647955,-0.0008098280840026073,0.2849912417547632,0.6549614661306441,0.2406275508321432,0.1,0.2858010698387658,-0.00019486694844863455,1.4964582318178194e-05,2.324272660287696,0.016293320363359554,-1.4727956103602228e-05,0.4399775370465502,0.5945173724017396,0.33780916108475795,0.1,0.43999226500265376,-4.975238495851009e-06,0.006717012101417447,2.8429803284238377,0.014826389328046731,0.0025667888082152716,0.24345233912054104,0.7645074161142529,0.18490464968596573,0.1,0.24088555031232578,0.00047461118540090226,0.0013337654848090332,3.3210504567824435,0.013918548192090489,0.0008216681558437062,0.30204804743792346,0.640432789136653,0.23356714719610155,0.1,0.30122637928207974,0.00019191468710229624,0.007086693004821141,3.6946399725752634,0.013918548192090489,-0.007059955349239868,0.23538337702646273,0.7883313506381242,0.20601831065671566,0.1,0.2424433323757026,-0.0014544800743622405,0.005745992320664821,4.258905931189848,0.014826389328046731,0.0053406890105249195,0.2553636909085465,0.7645210166121269,0.19718743908764855,0.1,0.25002300189802157,0.0010531167889489565
0.5,0.00010086434719662444,0.45982889258655124,0.020336480455230038,3.069801711733785e-05,0.39671892497805195,0.6377502111112553,0.31118125962786225,0.1,0.3966882269609346,9.55264763465087e-06,0.0034751433597421414,0.810338878473987,0.022157557123899132,0.0025413758815570156,0.28112496678854576,0.6880630801397236,0.2257719202234864,0.1,0.27858359090698875,0.000573771312788783,0.0004776121424968914,1.0377955547596436,0.0232801063508217,0.0004753493614936163,0.34474486461377957,0.6511228379998775,0.3015045245020159,0.1,0.34426951525228594,0.00014331998320946967,0.005022868433945005,1.4876609646688919,0.0232801063508217,0.003362497013730802,0.2604678730390369,0.7195489860637809,0.21140402904959743,0.1,0.2571053760253061,0.000710845416369931,0.006039669055027832,1.9357233874285593,0.022157557123899132,-0.002797972647909035,0.2564111347708867,0.7406256465969975,0.20588584287092393,0.1,0.2592091074187957,-0.0005760629569445426,9.381043621190085e-05,2.4774938192103773,0.020336480455230038,-8.381970325638065e-05,0.3959783105462848,0.6665948742806949,0.3154835350493485,0.1,0.3960621302495412,-2.6443736290110357e-05,0.012039529300392579,3.031320211029336,0.018510069734912038,0.008617538484180091,0.21936378408930848,0.8428033077671591,0.19102141807825684,0.1,0.2107462456051284,0.001646134421592033,0.003178170009574628,3.511343611999068,0.017378890473176214,0.00043957304460857596,0.2719254095097155,0.7253121194973503,0.22284322347962768,0.1,0.27148583646510693,9.795587421532924e-05,0.011442395256628447,3.9081428706006016,0.017378890473176214,-0.008403347515597816,0.21113904378889248,0.849948401044223,0.17471400550648597,0.1,0.2195423913044903,-0.0014681825041130722,0.011234353609118874,4.497736174900897,0.018510069734912038,0.010204339129976208,0.23036139071874434,0.8573869046377461,0.17959800038004203,0.1,0.22015705158876814,0.001832678902943545
0.6000000000000001,0.00043691914211443293,0.4669669490138882,0.02435957089614418,0.00013651226894383263,0.35705101589865823,0.6730984254412089,0.3214776611719076,0.1,0.3569145036297144,4.3885644941333755e-05,0.007416723855678119,0.8270355276023534,0.02653144110317249,0.005520718755386042,0.25334224266269817,0.7345152924860959,0.20813768575492414,0.1,0.24782152390731213,0.001149069625449856,0.001467746417876333,1.0557195111011888,0.02786866498415033,0.0014644969939807827,0.3103320601623898,0.6901620218932818,0.24769220974876258,0.1,0.308867563168409,0.0003627444966095203,0.009621096717027777,1.5146863588663497,0.02786866498415033,0.006091809835007642,0.23485740813542963,0.7635435086779218,0.19004675641430008,0.1,0.22876559830042198,0.0011577286998359349,0.010670012307504003,1.9684771848517557,0.02653144110317249,-0.0055757042146509575,0.23040695237902598,0.7796503587819951,0.22050114121740652,0.1,0.23598265659367693,-0.0012294491424212396,0.000404647109100382,2.531044562853209,0.02435957089614418,-0.0003412865956856618,0.3563696029276125,0.703474832516795,0.2949988147005764,0.1,0.35671088952329816,-0.00010067914120046507,0.020479998257583124,3.0977870058703316,0.022178500259255596,0.016546062286101854,0.19854562974443188,0.8811715870781425,0.1467736324640492,0.1,0.18199956745833,0.0024285256647075793,0.006228212406244827,3.580246443860778,0.020826391364761738,-0.00029381808712876427,0.24478990818291196,0.7686475555802029,0.20322692748941962,0.1,0.24508372627004074,-5.971174708799735e-05,0.01730845861561411,3.98667083903473,0.020826391364761738,-0.009622568390209635,0.18893470907101462,0.8702612399239742,0.18715706657678172,0.1,0.19855727746122426,-0.0018009316728461,0.01931838610142731,4.586489846675989,0.022178500259255596,0.014487544043742095,0.20864938122213753,0.8984205691648565,0.16399419357929945,0.1,0.19416183717839544,0.002375873102398068
0.7000000000000001,0.0014350655102146552,0.47046422400169263,0.028358621381550524,0.0004568144550850765,0.3213643596725168,0.781877827224758,0.30111190405082316,0.1,0.32090754521743176,0.0001375522703686066,0.013883562666622782,0.8356119366988178,0.030874005371671922,0.010444234821354204,0.2287539708756545,0.8605839455009237,0.21000933154810886,0.1,0.2183097360543003,0.0021933867733640784,0.003606541403516033,1.0654455966458258,0.032420575022087054,0.0036023345731645254,0.2794967351127212,0.8047319243502089,0.26199670903870564,0.1,0.2758944005395567,0.0009437998030254561,0.016362982797858496,1.5295617454177433,0.032420575022087054,0.010007181879914177,0.21219478489964133,0.888161490523519,0.19510669210823392,0.1,0.20218760301972716,0.0019524681539155127,0.01684725800024285,1.9870347080964452,0.030874005371671922,-0.00935768488784224,0.2066128750967487,0.8997147945217616,0.20785586564344724,0.1,0.21597055998459094,-0.0019450496927810534,0.0013008909959908643,2.5611237482521205,0.028358621381550524,-0.0010551382925279142,0.32068652842518786,0.8167271244008415,0.3018230149045853,0.1,0.32174166671771576,-0.0003184650205920513,0.031162361970157187,3.1355578092239784,0.02582865896124194,0.0265795597844753,0.18092674960960195,1.0,0.15012203785866104,0.1,0.15434718982512666,0.003990177680231546,0.010592249431307522,3.6205679005008857,0.02425850435461891,-0.0016173849516114807,0.22027121703931052,0.8921367295267536,0.21329815602785915,0.1,0.221888601990922,-0.00034498522776593704,0.02445279276213372,4.033427636061387,0.02425850435461891,-0.010724561273398322,0.16874104899195128,0.9859394026242172,0.17387498140508173,0.1,0.1794656102653496,-0.0018647328919897928,0.029163686876419227,4.639927094754012,0.02582865896124194,0.018308219378517534,0.18974198157927194,1.0,0.16631032454051778,0.1,0.1714337622007544,0.0030448459066002476
0.8,0.0037195803433867666,0.4814079853468465,0.032329685331431116,0.0012222062016050072,0.28928071828346075,0.9084040375044007,0.29049735773501323,0.1,0.28805851208185573,0.0003550476721736015,0.023685887723532965,0.8608738060396874,0.03518012431807566,0.018233893669161876,0.20708562616095458,1.0,0.19501022917917196,0.1,0.1888517324917927,0.0035557957832519104,0.007681438790471379,1.0920819022600132,0.03692985241585986,0.007681367423302503,0.25196338760031534,0.9381740177964376,0.24921581895518802,0.1,0.24428202017701284,0.0019143182730940356,0.025532474664367224,1.5695484228768584,0.03692985241585986,0.0141825777313474,0.19213184806547665,1.0,0.18412604768207685,0.1,0.17794927033412924,0.002611381983616833,0.02383880334307412,2.0349938334122637,0.03518012431807566,-0.015136451617062915,0.18487010905450546,1.0,0.20607525074121716,0.1,0.20000656067156838,-0.003119248062318542,0.0033075066001347084,2.6399706192741115,0.032329685331431116,-0.002367484543163168,0.288495932022276,0.9480855649568108,0.29309158236838373,0.1,0.2908634165654392,-0.000693889790988383,0.044653780862721905,3.2330741604323805,0.02945753915445969,0.04209719219566777,0.16590590530510835,1.0,0.12918113308532092,0.1,0.12380871310944058,0.005438162987546891,0.016172238389585432,3.7205051472608957,0.027672694773726806,-0.006668981556303803,0.1980571722742771,1.0,0.21073432107149692,0.1,0.2047261538305809,-0.0014053833005060168,0.0320546863667276,4.14666801962957,0.027672694773726806,-0.0035542041194068833,0.15062749406559572,1.0,0.1601771629982916,0.1,0.1541816981850026,-0.0005693023325634358,0.04029558222885404,4.767380693948009,0.02945753915445969,0.010183170015047881,0.17288368564125642,1.0,0.1687942741265543,0.1,0.16270051562620855,0.0017188607909973
0.9,0.008064355651267174,0.49384683731994194,0.03626884378509984,0.0027391889519551545,0.2604894322836904,0.9780664300131922,0.2710085109682105,0.1,0.2577502433317353,0.0007423435191299395,0.03726046423504263,0.8895245981760039,0.039444715664244664,0.02938620766563091,0.18841774886491588,1.0,0.17095345382661625,0.1,0.15903154119928498,0.005023673695305791,0.014432166807802594,1.1221844877413116,0.041390570060787224,0.014417633563113751,0.22762672555130942,1.0,0.22670365004363974,0.1,0.21320909198819565,0.0032685301537495747,0.03617546025747891,1.6146991439837168,0.041390570060787224,0.01770325694698086,0.1745059368660946,1.0,0.16862217844309912,0.1,0.15680267991911376,0.0029851617519378406,0.030765080161321456,2.0890286004019822,0.039444715664244664,-0.022053651398905562,0.1646890696999952,1.0,0.1996999120792107,0.1,0.18674272109890075,-0.004404112245387003,0.006885125235311258,2.7289706930879,0.03626884378509984,-0.004061038466116088,0.25938137670935757,1.0,0.2765579320009802,0.1,0.2634424151754737,-0.0011231123999654981,0.061105430381064356,3.3430785938446217,0.03306215191545403,0.06077317071406689,0.15402671233389112,1.0,0.10115958081252724,0.1,0.09325354161982423,0.006147788474083164,0.02143352591859366,3.8329553538369976,0.03106644174602703,-0.014312434572457794,0.17750508167160614,1.0,0.2049136461092129,0.1,0.19181751624406393,-0.00293281315294188,0.04388215175048476,4.273950994267172,0.03106644174602703,0.011916249297224365,0.1351669682815625,1.0,0.13322371607561853,0.1,0.12325071898433813,0.0015875270130597076,0.045110700976815396,4.910517242796383,0.03306215191545403,-0.009878669209035853,0.15673498839135458,1.0,0.17886338131270277,0.1,0.16661365760039043,-0.0017669321775978354
