t,delta_fn_0,fn_t_0,S_i_0,f0n_0,An_0,delta_fn_1,fn_t_1,S_i_1,f0n_1,An_1,delta_fn_2,fn_t_2,S_i_2,f0n_2,An_2,delta_fn_3,fn_t_3,S_i_3,f0n_3,An_3,delta_fn_4,fn_t_4,S_i_4,f0n_4,An_4,delta_fn_5,fn_t_5,S_i_5,f0n_5,An_5,delta_fn_6,fn_t_6,S_i_6,f0n_6,An_6,delta_fn_7,fn_t_7,S_i_7,f0n_7,An_7,delta_fn_8,fn_t_8,S_i_8,f0n_8,An_8,delta_fn_9,fn_t_9,S_i_9,f0n_9,An_9
0.0,0.0,0.4,0.0,0.4,0.671846,0.0,0.6736,0.0,0.7,0.475858,0.0,0.8949424,0.0,0.7,0.583804,0.0,1.2740084016000002,0.0,1.1,0.440647,0.0,1.6806727968944002,0.0,1.3,0.434422,0.0,2.05966429268757,0.0,1.4,0.670596,0.0,2.5162684127842443,0.0,1.7,0.370922,0.0,2.985661145942454,0.0,1.9,0.46028,0.0,3.315399867067445,0.0,1.8,0.359828,0.0,3.8321584924575633,0.0,2.3,0.388752
0.1,8.279385140175638e-07,0.41000000000032094,1.6558770280351275e-06,0.4,0.671846,4.8725139087482465e-08,0.6964777462831311,6.960734155354638e-08,0.7,0.475858,3.3020737625066574e-07,0.9189222652610446,5.693230625011479e-07,0.7,0.583804,-2.2284128314015883e-08,1.3098779990997478,-3.842091088623428e-08,1.1,0.440647,-5.200712139299766e-07,1.723593986553387,-7.762256924328009e-07,1.3,0.434422,-1.7501488555351997e-06,2.1297199751182787,-3.7237209692238295e-06,1.4,0.670596,1.9098884170467085e-07,2.602638265962923,3.672862340474439e-07,1.7,0.370922,-3.178194099704093e-06,3.074090949274231,-4.743573283140437e-06,1.9,0.46028,-1.1624068045765878e-06,3.4151675541900866,-1.8162606321509184e-06,1.8,0.359828,0.0,3.9442861175854285,0.0,2.3,0.388752
0.2,-1.660533661771227e-06,0.42239471668961365,-3.321067323542454e-06,0.4,0.671846,4.889600324504367e-08,0.7247293858376214,6.985143320720524e-08,0.7,0.475858,2.031669885567395e-06,0.9483575322723831,3.502879113047233e-06,0.7,0.583804,-2.409176324804844e-07,1.3538564713372658,-4.1537522841462835e-07,1.1,0.440647,-3.178439259023501e-06,1.776019873117767,-4.74393919257239e-06,1.3,0.434422,-2.7156111901410628e-06,2.2155479248448753,-5.777896149236304e-06,1.4,0.670596,1.2107332617640086e-06,2.708344120725183,2.3283331957000164e-06,1.7,0.370922,-2.7142575368965707e-05,3.181837922403961,-4.0511306520844336e-05,1.9,0.46028,1.4296282927152602e-06,3.5364999800808468,2.233794207367594e-06,1.8,0.359828,0.0,4.080438078890658,0.0,2.3,0.388752
0.30000000000000004,-2.511003326930779e-05,0.42740280640774225,-5.022006653861558e-05,0.4,0.671846,1.4984368212665733e-07,0.7365655195283688,2.140624030380819e-07,0.7,0.475858,7.70175881760234e-06,0.9612753884156992,1.3278894513107485e-05,0.7,0.583804,-3.078382397283821e-06,1.3733870099901382,-5.307555857385898e-06,1.1,0.440647,-1.3639542772032896e-05,1.799923600929407,-2.0357526525422232e-05,1.3,0.434422,9.046386253873135e-06,2.2542755169684106,1.924763032738965e-05,1.4,0.670596,5.46374046136248e-06,2.756522600140398,1.0507193194927845e-05,1.7,0.370922,-0.00011818323193962844,3.2323563248515477,-0.00017639288349198274,1.9,0.46028,2.9946563427841588e-05,3.5943084606885747,4.679150535600248e-05,1.8,0.359828,0.0,4.146009842715357,0.0,2.3,0.388752
0.4,-8.09452365201107e-05,0.4372213479189864,-0.0001618904730402214,0.4,0.671846,1.4175728688265206e-06,0.7591531508609064,2.025104098323601e-06,0.7,0.475858,2.1752920060873647e-05,0.9850675946466615,3.750503458771319e-05,0.7,0.583804,-1.3942823029440515e-05,1.4090540295153604,-2.403935005075951e-05,1.1,0.440647,-4.4919572476685375e-05,1.842705039934657,-6.704413802490354e-05,1.3,0.434422,4.222566852924452e-05,2.324272660287696,8.984184793456281e-05,1.4,0.670596,1.873958608473642e-05,2.8429803284238377,3.603766554757004e-05,1.7,0.370922,-0.00029682318966043486,3.3210504567824435,-0.0004430196860603505,1.9,0.46028,9.94508229950987e-05,3.6946399725752634,0.0001553919109298417,1.8,0.359828,0.0,4.258905931189848,0.0,2.3,0.388752
0.5,-0.0002195984419973304,0.45982889258655124,-0.0004391968839946608,0.4,0.671846,7.899982372322668e-06,0.810338878473987,1.1285689103318097e-05,0.7,0.475858,4.408483776362195e-05,1.0377955547596436,7.600834097176198e-05,0.7,0.583804,-5.3780623529186e-05,1.4876609646688919,-9.272521298135519e-05,1.1,0.440647,-0.00011547661293876878,1.9357233874285593,-0.0001723531536399534,1.3,0.434422,0.0001587009939342403,2.4774938192103773,0.00033766168922178794,1.4,0.670596,4.349259782126005e-05,3.031320211029336,8.363961119473086e-05,1.7,0.370922,-0.0006449918585494943,3.511343611999068,-0.0009626744157455139,1.9,0.46028,0.0002892173346995977,3.9081428706006016,0.0004519020854681214,1.8,0.359828,0.0,4.497736174900897,0.0,2.3,0.388752
0.6000000000000001,-0.00038314816242095964,0.4669669490138882,-0.0007662963248419193,0.4,0.671846,3.1125594106339494e-05,0.8270355276023534,4.446513443762785e-05,0.7,0.475858,4.7625025666079605e-05,1.0557195111011888,8.211211321737863e-05,0.7,0.583804,-0.0001898526765453538,1.5146863588663497,-0.0003273322009402652,1.1,0.440647,-0.00023090322003814124,1.9684771848517557,-0.00034463167169871827,1.3,0.434422,0.000536529023208189,2.531044562853209,0.0011415511132089127,1.4,0.670596,2.721642288897775e-05,3.0977870058703316,5.233927478649567e-05,1.7,0.370922,-0.00114039936198512,3.580246443860778,-0.001702088599977791,1.9,0.46028,0.0006249450294635285,3.98667083903473,0.0009764766085367633,1.8,0.359828,0.0,4.586489846675989,0.0,2.3,0.388752
0.7000000000000001,-0.00044834126441780264,0.47046422400169263,-0.0008966825288356053,0.4,0.671846,9.29589307525865e-05,0.8356119366988178,0.000132798472503695,0.7,0.475858,3.312328261805286e-05,1.0654455966458258,5.710910796216011e-05,0.7,0.583804,-0.00040833167010064094,1.5295617454177433,-0.000704020120863174,1.1,0.440647,-0.0004310174608564515,1.9870347080964452,-0.0006433096430693305,1.3,0.434422,0.0010397230255353822,2.5611237482521205,0.0022121766500752815,1.4,0.670596,2.4683624449586716e-06,3.1355578092239784,4.746850855689753e-06,1.7,0.370922,-0.00175329825531287,3.6205679005008857,-0.002616863067631149,1.9,0.46028,0.000946007176375735,4.033427636061387,0.0014781362130870859,1.8,0.359828,0.0,4.639927094754012,0.0,2.3,0.388752
0.8,-0.0003931992278581666,0.4814079853468465,-0.0007863984557163332,0.4,0.671846,0.00022018640826556142,0.8608738060396874,0.00031455201180794493,0.7,0.475858,-2.534907060352161e-05,1.0920819022600132,-4.370529414400278e-05,0.7,0.583804,-0.0007516811287383925,1.5695484228768584,-0.0012960019461006767,1.1,0.440647,-0.0007411754515536201,2.0349938334122637,-0.001106232017244209,1.3,0.434422,0.0016890504995989244,2.6399706192741115,0.003593724467231754,1.4,0.670596,-2.9236826272345466e-05,3.2330741604323805,-5.6224665908356664e-05,1.7,0.370922,-0.0024993761108775326,3.7205051472608957,-0.003730412105787362,1.9,0.46028,0.001275238677128257,4.14666801962957,0.0019925604330129016,1.8,0.359828,0.0,4.767380693948009,0.0,2.3,0.388752
0.9,0.00040253618270569974,0.49384683731994194,0.0008050723654113995,0.4,0.671846,0.0004521412855188247,0.8895245981760039,0.0006459161221697496,0.7,0.475858,-0.0002349763243932396,1.1221844877413116,-0.0004051315937814476,0.7,0.583804,-0.0013234335043411942,1.6146991439837168,-0.002281781904036542,1.1,0.440647,-0.0011088541723922082,2.0890286004019822,-0.0016550062274510568,1.3,0.434422,0.0026899812591983426,2.7289706930879,0.005723364381273069,1.4,0.670596,-0.00022367784468331307,3.3430785938446217,-0.0004301497013140636,1.7,0.370922,-0.0030586435531100025,3.8329553538369976,-0.004565139631507466,1.9,0.46028,0.0010785377005665079,4.273950994267172,0.0016852151571351685,1.8,0.359828,0.0,4.910517242796383,0.0,2.3,0.388752
