t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
0,4.214522507e-05,1,0,0.000158469075471,0,3.92124999999e-05,0,6.11988950597e-05,1.83912030605,0,1,0.1,0.470435099875,0,0,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.4704853,5.02001252628e-05,0.165478120134,0.165478120134,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.1,0.00011582465338,0.999999965725,-5.68523808189e-07,0.000489867895294,3,0.0001686583,4.09927240416,0.00021527023457,1.93948645399,0,1,0.1,0.423300431045,0,40.9927240416,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.42344489238,0.000144461335465,0.117617362485,0.126474047951,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.2,0.000660797241764,0.999999863322,-2.03747763271e-06,0.00117198004979,3,4.12833e-05,6.91689247764,0.000596080772292,1.91820701855,0,1,0.1,0.380753217291,0,28.1762007349,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.381116636261,0.000363418969953,0.296176150394,0.32217049277,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.3,0.00116309122092,0.999999694048,-5.2142566204e-06,0.00248059078505,3,4.2175e-05,1.93810956207,0.00145210616274,2.02693847901,0.000141764200939,0.993307122148,0.1,0.342386938127,0,-49.7878291557,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.343041314532,0.000654376405465,0.321870772802,0.353693012558,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.4,0.00322799000838,0.999999459984,-1.46350572866e-05,0.00464750386506,3,4.07292e-05,5.81492069424,0.00307081267786,2.04817218714,0.00157279859852,0.993306850325,0.1,0.307637363013,0,38.7681113217,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.308830137223,0.0011927742095,0.582805550273,0.640487637514,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.5,0.00365391386498,0.999999164012,-3.09416163622e-05,0.00809635946348,3,6.32625e-05,3.6165676773,0.00588654720222,2.20558270789,0.0019452057492,0.993306779584,0.1,0.276253215663,0,-21.9835301694,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.278066400921,0.00181318525815,0.507643732964,0.557932753951,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.6,0.00737583622941,0.999998809787,-5.49419922717e-05,0.0125460053686,3,5.91166e-05,4.69452014164,0.0099100250772,2.16890591823,0.00175067050561,0.993306816537,0.1,0.247277205952,0,10.7795246433,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.25047552831,0.00319832235821,0.670521263072,0.736985054057,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.7,0.0127161489732,0.999998401692,-8.99107149252e-05,0.0188633660415,3,5.86666e-05,5.22076809221,0.0158021081797,2.27050153308,0.00258315673864,0.993306658401,0.1,0.220683470145,0,5.26247950574,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.225761225499,0.00507775535364,0.841613182889,0.920309547253,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.8,0.0182436632248,0.999997944798,-0.000110499813763,0.0263537863402,2,5.85624999999e-05,4.15759582993,0.0233205630532,2.37745412605,0.000378806913582,0.993307077123,0.1,0.195959680039,0,-10.6317226228,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.203692878484,0.00773319844527,0.890981730467,0.96889803479,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.9,0.0220553334032,0.999997444801,-9.9629647081e-05,0.03508099586,6,5.84334e-05,3.25105288197,0.032343962774,2.41371002769,0.000696329511637,0.99330701681,0.569184256222,0.173312809595,6.36590658594,-9.06542947961,0,6.40966041056,1,1,0.5,0.1,0.1,0.1,transitoire,0.184186375987,0.0108735663912,1,1,tanh,0.1,,,,0.1,0.1,0.1,0.1
1,0.00341284366305,0.999996907969,-0.000105417826126,0.0451811556699,6,5.815e-05,63.0555884483,0.0425818616013,2.48515158191,0.0719667528838,0.993293465514,0.512195767141,0.153179026695,25.2624672067,598.045355663,0,6.46245054877,1,1,0.5,0.1,0.1,0.1,transitoire,0.167116265845,0.0139372391503,0.140142698103,0.15404502093,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.1,0.00135266396475,0.999996341065,-5.6720988355e-05,0.0553054936009,6,6.02458e-05,7.12701799016,0.0522952145628,1.98613610647,0.0118117209309,0.993304905131,0.504953360625,0.139319952219,25.699832972,-559.285704581,0,6.64233874673,1,1,0.5,0.1,0.1,0.1,transitoire,0.151519618393,0.0121996661737,0.187338704215,0.205696484685,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.2,0.0048650902062,0.999995751279,-0.000456387140215,0.0618793798983,6,6.05458e-05,5.76852248376,0.058833651516,2.0200266834,0.0116338883333,0.993304938921,0.57403184506,0.117549035207,25.699832972,-13.584955064,0,6.46245054877,1,1,0.5,0.1,0.1,0.1,transitoire,0.137343629848,0.0197945946403,0.253290761058,0.277112742561,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.3,0.0063864999401,0.999995146143,-0.000494227652647,0.0733715701561,7,5.93875e-05,5.82743981266,0.0713402200973,2.06514654869,0.00852807028471,0.993305529021,0.604923095447,0.10040630167,25.699832972,0.58917328907,0,6.24199523351,1,1,0.5,0.1,0.1,0.1,transitoire,0.125192834434,0.0247865327636,0.395354738593,0.429556356634,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.4,0.00465095366057,0.999994533448,-0.000599320884624,0.086038140442,7,5.89583e-05,2.97783785141,0.0825764110963,2.15566251162,0.0239471527503,0.993302598911,0.633595918805,0.0828839957146,25.699832972,-28.4960196125,0,6.03608465283,1,1,0.5,0.1,0.1,0.1,transitoire,0.114656473612,0.0317724778971,0.44861838919,0.483266610126,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.5,0.000488463837325,0.999993921154,-0.00059502857,0.0973711357409,7,5.82166e-05,3.75977969317,0.0924898438446,2.19362916229,0.026430377248,0.993302126901,0.614932760364,0.0695082078199,20.7317346822,7.81941841762,0,6.24199523351,1,1,0.5,0.1,0.1,0.1,transitoire,0.105732624482,0.0362244166624,0.590854179306,0.628881613199,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.6,-0.000920004339565,0.999993317298,-0.000565811780365,0.102922934034,6,5.79792e-05,2.84807766565,0.0978194682777,2.28490443457,0.0176783767348,0.993303790329,0.617648439545,0.0637626662417,20.7317346822,-9.1170202752,0,6.46245054877,1,1,0.5,0.1,0.1,0.1,transitoire,0.0980573153671,0.0342946491254,0.728168110163,0.767118103731,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.7,-0.00887292719321,0.999992729899,-0.000412439348718,0.101858594937,7,5.71333e-05,2.05532158229,0.0987818996785,2.37365747249,0.0411579275743,0.993299326818,0.559515808006,0.0624050749858,20.7317346822,-7.92756083362,0,6.24199523351,1,1,0.5,0.1,0.1,0.1,transitoire,0.0909951557604,0.0285900807746,0.799675218838,0.839553852612,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.8,-0.0174278008306,0.99999216686,-0.00024473532652,0.0977352112873,7,5.71083e-05,1.95180069338,0.0961313917407,2.42332147803,0.0237585996958,0.993302634749,0.507235749059,0.0624670520079,20.7317346822,-1.03520888915,0,6.03608465283,1,1,0.5,0.1,0.1,0.1,chronique,0.0841828466463,0.0256022804882,0.874147418301,0.916402509923,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.9,-0.0262399872797,0.999991635872,-0.000173087761769,0.0970675180472,7,5.81666e-05,1.42365663942,0.0959145713756,2.47490107154,0.0203192662165,0.993303288438,0.485435789901,0.0609209763969,20.7317346822,-5.28144053959,0,6.31918262367,0.738178524688,1,0.885201632009,0.1,0.1,0.1,chronique,0.0778127444207,0.0223711977953,1,0.997439822338,tanh,0.1,,,,0.1,0.1,0.1,0.188520163201
2,-0.00548599103157,0.999991144313,-8.58084407444e-05,0.0965926265575,9,5.84625e-05,77.476338485,0.0956375417375,2.55768161012,0.0500924099558,0.993297627578,0.458917497171,0.0602580971257,32.0806554428,760.526818456,0,5.64185093955,0.738290852722,1,0.883061846348,0.3,0.2,0.5,transitoire,0.0718211658023,0.0193572275869,0.114379698454,0.119282709412,tanh,0.1,,,,0.422510647544,0.276048099504,0.3,0.564918553904
2.1,-0.00422161942893,0.999990699156,9.55687385179e-05,0.0941815572051,9,5.96499999999e-05,4.39417397641,0.0927207638483,2.02791666809,0.0719813307292,0.993293462739,0.465810282476,0.0510815098012,32.0806554428,-730.821645086,0,5.91485401472,0.738000184734,1,0.874394341046,0.3,0.2,0.5,transitoire,0.066187627429,0.0156054337443,0.130102027254,0.135080917932,tanh,0.1,,,,0.42812532345,0.300997175468,0.3,0.562318302314
2.2,-0.0144972195276,0.999990306867,-0.00088165181342,0.103731361862,7,6.03667e-05,8.80805105279,0.0992835536872,2.04242408753,0.0792923400174,0.993292071089,0.486484579314,0.0478036219804,32.6767776908,44.1387707638,0,5.64185093955,0.739950149264,1,0.841531973301,0.4,0.2,0.6,transitoire,0.0608172993857,0.0320703726598,0.310194340263,0.322347098863,tanh,0.1,,,,0.427891575327,0.271186737567,0.4,0.736612789321
2.3,-0.0105788955792,0.99998997332,-0.000872509071067,0.100732064141,7,6.00625000001e-05,2.51963738091,0.0996976035896,2.15724928894,0.109407165239,0.993286335711,0.449113463287,0.0387441944,32.6767776908,-62.8841367189,0,5.51489414027,0.741659025825,1,0.841531973301,0.4,0.2,0.6,transitoire,0.0573011992599,0.0259603853871,0.28931315506,0.296389613939,tanh,0.1,,,,0.420292695384,0.271647510764,0.4,0.736612789321
2.4,-0.0200914432717,0.999989703697,-0.000762053163497,0.107176766631,7,5.8675e-05,5.43497472196,0.103648448735,2.14958644737,0.0707627033029,0.993293694677,0.437693899649,0.0367466036748,32.6767776908,29.1533734105,0,5.39352533407,0.743436396213,1,0.841531973301,0.4,0.2,0.6,transitoire,0.0536479101649,0.0318886525926,0.515752095545,0.528324355318,tanh,0.1,,,,0.407366628377,0.260195127128,0.4,0.736612789321
2.5,-0.0166812196298,0.999989502415,-0.000773641493841,0.106149609692,7,5.92167e-05,2.33427451113,0.104003235187,2.29326551854,0.0675700138255,0.993294302294,0.39544730778,0.0314166244972,28.2018880444,-31.0070021082,0,5.0699992932,0.745665321384,1,0.841531973301,0.4,0.2,0.6,transitoire,0.0508342113558,0.0257634881757,0.59313998984,0.603522394503,tanh,0.1,,,,0.389411057408,0.242766709006,0.4,0.736612789321
2.6,-0.0162746934234,0.999989373032,-0.000517192828823,0.107977123566,7,5.93625e-05,2.22143644803,0.105034419028,2.34592653252,0.0640140227609,0.993294978989,0.380617059134,0.0307863270023,28.2018880444,-1.12838063106,0,4.783089715,0.747852273837,1,0.841531973301,0.5,0.2,0.7,transitoire,0.0478118692743,0.0242189457958,0.701811924569,0.716504115553,tanh,0.1,,,,0.36892304754,0.238485054279,0.5,0.920765986651
2.7,-0.0232421356067,0.999989318186,-0.000401506946622,0.106824618197,7,6.02042e-05,2.28943160348,0.104770571454,2.41798312273,0.0787129793908,0.993292181381,0.395354378636,0.034903979272,28.2018880444,0.679951554546,0,4.42030022887,0.749662548863,1,0.849276119861,0.6,0.2,0.7,transitoire,0.0449681980105,0.0187614137904,0.837890721067,0.854918037032,tanh,0.1,,,,0.345189513532,0.246177816164,0.6,1.10956567192
2.8,-0.039460448047,0.999989339513,-0.000229553633957,0.102293299412,7,5.68958e-05,2.08205968894,0.101382297202,2.50710288989,0.0707627033029,0.993293694677,0.5379082476,0.0432250124829,28.2018880444,-2.07371914541,0,6.17872832023,0.748255603451,1,0.848577819437,0.5,0.2,0.7,transitoire,0.0419722913127,0.0138468593774,0.977213441468,0.974806490507,tanh,0.1,,,,0.322010294462,0.265946340827,0.5,0.924288909718
2.9,-0.0538472161943,0.999989437598,-2.65413658058e-05,0.0975960982006,7,5.92584000001e-05,1.43825425748,0.0968724361622,2.59848610225,0.0654252024381,0.993294710453,0.623284254053,0.0497356700447,28.2018880444,-6.43805431463,0,7.82530168294,0.744911664163,1,0.841873263159,0.5,0.2,0.7,chronique,0.0388828109316,0.0119493344953,0.913597858632,0.930618832636,tanh,0.1,,,,0.298508913247,0.277727836247,0.5,0.920936631579
3,-0.00596796458561,0.999989611912,0.000148029681034,0.0951457608372,9,0.0001078166,57.0076917584,0.0938377413828,2.5644933929,0.10559474235,0.993287062057,0.588889540174,0.0405067338834,32.3170028607,555.69437501,0,8.43141262026,0.744911364166,1,0.842287885483,0.5,0.2,0.8,transitoire,0.0359504765981,0.0129145395606,0.139669639113,0.14238420367,tanh,0.1,,,,0.272133017997,0.277190001098,0.5,0.921143942741
3.1,-0.0082481311315,0.999989860773,6.24490887909e-05,0.0982466298444,7,0.0001071417,5.14612867035,0.0972112723228,2.0898253571,0.138061516852,0.993280873958,0.565528488235,0.0362006651026,32.3170028607,-518.615630881,0,7.82530168294,0.745538427215,1,0.844917606534,0.5,0.2,0.8,transitoire,0.0333885921031,0.0191373997189,0.182616294828,0.186060485794,tanh,0.1,,,,0.240884401712,0.309635802502,0.5,0.922458803267
3.2,-0.0131122626928,0.999990181307,-0.000874251710544,0.0994082911023,7,0.0001167625,5.40355778365,0.0977691772338,2.12001052912,0.105281858678,0.993287121665,0.557873023933,0.0327614175614,32.3170028607,2.57429113298,0,7.30048966916,0.747174562801,1,0.851377712733,0.6,0.2,0.8,transitoire,0.0315807248703,0.0257138792214,0.317624911276,0.321086010478,tanh,0.1,,,,0.211912770114,0.278606346511,0.6,1.11082662764
3.3,-0.0164839634575,0.999990569422,-0.000793175041626,0.0998473207737,5,0.0001097083,3.75044791133,0.098486950775,2.20762366269,0.0959970366544,0.993288890276,0.540610058645,0.028371276737,32.3170028607,-16.5310987231,0,6.892899217,0.749226450416,1,0.859109843925,0.6,0.2,0.8,transitoire,0.030479762721,0.0231144349325,0.451414944217,0.453773349877,tanh,0.1,,,,0.202137918435,0.280309237422,0.6,1.11546590636
3.4,-0.0144918862686,0.999991019793,-0.000689543945201,0.103047784542,7,0.0001177583,2.80784673566,0.100529330147,2.2944949101,0.123984547315,0.993283557695,0.530677643838,0.0200350287112,32.3170028607,-9.4260117567,0,6.52841417477,0.750896005784,1,0.865325335917,0.6,0.2,0.8,transitoire,0.0292809412435,0.022740637136,0.559825703905,0.563200798375,tanh,0.1,,,,0.19762518926,0.266162801626,0.6,1.11919520155
3.5,-0.0126753890313,0.99999152585,-0.00052659537625,0.104994655528,7,0.0001082458,1.12666767704,0.10222678784,2.3657088829,0.105684136398,0.993287045027,0.519416124474,0.0208186053134,29.0042425899,-16.8117905862,0,6.29017379335,0.752215934745,1,0.869754602584,0.6,0.2,0.9,chronique,0.02817209809,0.0190401344024,0.593825151068,0.597275030441,tanh,0.1,,,,0.215259231152,0.24894825691,0.6,1.12185276155
3.6,-0.0123375134878,0.999992079787,-0.000370829249957,0.103604657283,6,0.0001060833,0.989317214038,0.101211050417,2.39047446345,0.105222138378,0.993287133042,0.520417244565,0.0198482253647,29.0042425899,-1.37350463001,0,6.06870934718,0.75343028377,1,0.873582075675,0.6,0.2,0.9,chronique,0.0268780990332,0.0173114766373,0.633397823566,0.639003526069,tanh,0.1,,,,0.269892425566,0.239409487519,0.6,1.1241492454
3.7,-0.0158581899557,0.999992672574,-0.000313765792593,0.102849836731,7,0.0001046542,2.20273485594,0.100696458349,2.4185438095,0.0977175846174,0.993288562574,0.528186284119,0.0207059189265,29.0042425899,12.134176419,0,5.53646995701,0.75505034605,1,0.878821627038,0.6,0.2,0.9,transitoire,0.0255752072609,0.015467494995,0.787640188359,0.79503372865,tanh,0.1,,,,0.300041827188,0.246460473731,0.6,1.12729297622
3.8,-0.0355959768781,0.999993293982,-0.000240501987841,0.10146844317,7,0.00010725,2.2431644294,0.0995182458829,2.51827244772,0.282242072607,0.993253324929,0.590235669009,0.0356723355834,29.0042425899,0.404295734664,0,5.09006028003,0.756664936745,1,0.881915916757,0.6,0.2,0.9,transitoire,0.0242550861344,0.00961226902931,0.958799634726,0.958265008854,tanh,0.1,,,,0.314921897164,0.255608170639,0.6,1.12914955005
3.9,-0.0548623003645,0.999993932617,7.0524504757e-06,0.0952016791635,7,0.000104575,1.27326793698,0.0940492666244,2.62878913009,0.176359009894,0.993273567253,0.677023411206,0.0434404620715,29.0042425899,-9.69896492425,0,4.7880363982,0.755676911368,1,0.874369321266,0.6,0.2,0.9,chronique,0.0225985590433,0.0073759320359,1,0.979431812393,tanh,0.1,,,,0.311362520008,0.266788773743,0.6,1.12462159276
4,-0.00694501390056,0.99999457597,0.000187905169423,0.0916421498126,9,0.0001036375,63.6982315019,0.0901238978794,2.65769476616,0.142201263069,0.993280084524,0.651102156725,0.0401875034727,32.8591302468,624.249635649,0,5.1860139798,0.755653523669,1,0.87293789131,0.6,0.2,0.9,transitoire,0.0209287777018,0.00822977315887,0.133709536958,0.135102032103,tanh,0.1,,,,0.302465220238,0.266959824285,0.6,1.12376273479
4.1,-0.00806211869055,0.99999521047,0.000200496105236,0.0924005965196,7,0.0001053375,5.89459478516,0.0909571821648,2.11603793462,0.308165557776,0.993248359762,0.631013259622,0.0364673735976,32.8679829236,-578.036367167,0,5.64083901097,0.755844751124,1,0.872511633043,0.6,0.2,0.9,transitoire,0.0194942817844,0.0184275029271,0.194467361441,0.196276088856,tanh,0.1,,,,0.300788500667,0.300811018382,0.6,1.12350697983
4.2,-0.00519745550594,0.999995821554,-0.000780840509805,0.0928199176403,9,0.0001053917,4.66344481447,0.0917090484362,2.15573557935,0.305827214171,0.993248807778,0.618337727133,0.032703986746,32.8679829236,-12.311499707,0,6.18311174766,0.755519575653,1,0.871296083082,0.3,0.2,0.9,transitoire,0.0190190538401,0.021583142508,0.140866602565,0.140990466786,tanh,0.1,,,,0.296671124159,0.266027628912,0.3,0.561388824925
4.3,-0.0121112819251,0.999996393743,-0.000727039230391,0.0941573480165,5,0.0001075709,6.04241184688,0.0926437922454,2.12365463499,0.275737144956,0.993254570259,0.613811971016,0.0321767886559,32.8918687051,13.7896703241,0,5.64083901097,0.756349413768,1,0.872000602587,0.3,0.2,0.8,transitoire,0.0188437998567,0.0207102478185,0.323294925335,0.322593418409,tanh,0.1,,,,0.314370490066,0.272985973686,0.3,0.561600180776
4.4,-0.013441224086,0.999996910727,-0.000775407265004,0.093093771206,7,0.0001072667,3.94902199835,0.0918484434448,2.2400029672,0.263015354207,0.993257005111,0.618022221592,0.0226210768478,32.8918687051,-20.9338984852,0,5.1860139798,0.757324180212,1,0.873246838114,0.3,0.2,0.8,transitoire,0.0186162396965,0.0204374426353,0.47799145117,0.477370669564,tanh,0.1,,,,0.319409902258,0.271069135229,0.3,0.561974051434
4.5,-0.0118627980053,0.999997355467,-0.000605228097238,0.0968951469193,7,0.0001075792,3.50332419648,0.0945719632529,2.3386606603,0.216928264616,0.993265818514,0.614402129627,0.0157107640039,30.1854258159,-4.4569780187,0,4.8893190844,0.758073374753,1,0.874183171662,0.3,0.2,0.8,transitoire,0.0183896111377,0.0181088818131,0.650059829065,0.648831602091,tanh,0.1,,,,0.291040504407,0.262346949361,0.3,0.562254951499
