t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
0,1.61475301696e-07,1,0,1.32534210521e-05,0,3.72416999999e-05,0,5.4013743776e-06,1.97633833785,0,1,0.1,0.519742992825,0,0,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.5197432,2.071752899e-07,0.117184342805,0.117184342805,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.1,-1.91299941369e-07,0.999999965725,-4.66787059978e-09,6.96630211347e-05,4,0.0001716084,7.07414060149,2.79317288103e-05,2.05953594836,0,1,0.1,0.467768442306,0,70.7414060149,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.467768913521,4.71215245044e-07,0.292420021351,0.311913799777,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.2,9.29743126873e-07,0.999999863322,1.8949766344e-08,0.000253574916121,4,4.18667e-05,1.3530431366,0.000114272354951,2.18144831109,0,1,0.1,0.42098795103,0,-57.2109746489,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.42099206929,4.11826055073e-06,0.311217967656,0.335398429114,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.3,6.22407191787e-05,0.999999694048,1.92551733867e-07,0.000720125689703,4,4.17125e-05,0.571055286255,0.000375363307904,2.2008928198,1.813166538e-06,0.993307148731,0.1,0.37885211078,0,-7.81987850347,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.37889348045,4.13696703784e-05,0.31831699957,0.346987633171,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.4,0.000502130599737,0.999999459984,5.77822507846e-07,0.00170123648866,4,4.13292e-05,5.18241622685,0.00103348940348,2.21268777793,0.000165429245558,0.993307117653,0.1,0.340833065746,0,46.1136094059,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.341010785648,0.000177719902106,0.562276882182,0.618661679485,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.5,0.000527967570374,0.999999164012,9.42759780607e-07,0.00354321331661,4,6.15458e-05,3.29984397271,0.00248470417291,2.38185878618,0.000147198933503,0.993307121116,0.1,0.306741424783,0,-18.8257225414,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.306927479073,0.000186054290368,0.685640590247,0.754440310507,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.6,0.000130623642001,0.999998809787,1.46754396522e-06,0.00641747971509,4,5.86791e-05,1.75942260519,0.00511673919591,2.47171512586,0.000410119527509,0.993307071175,0.1,0.276167357595,0,-15.4042136752,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.276257680741,9.0323146038e-05,0.665604083548,0.73240732511,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.7,0.00210288784987,0.999998401692,1.87780980337e-06,0.0106628162113,9,5.995e-05,2.84326202446,0.00932478546415,2.4662229096,0.00119180972238,0.993306922694,0.1,0.247903435936,0,10.8383941928,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.248644964717,0.000741528781147,0.740688074118,0.814973351463,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.8,0.00336882568694,0.999997944798,-1.66510456001e-06,0.0169299852878,9,5.96167e-05,4.35131665688,0.0156730248484,2.52442727647,0.000312587660724,0.993307089701,0.1,0.222764222076,0,15.0805463242,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.223876584614,0.00111236253804,0.879987525295,0.9563017602,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.9,0.00389441316858,0.999997444801,2.15594407992e-06,0.0247533009728,2,5.94250000001e-05,3.97484170219,0.0239291214327,2.62613995845,0.000438510905797,0.993307065782,0.604059898675,0.199895898152,6.12827841417,-3.76474954696,0,12.3094020133,1,1,0.5,0.1,0.1,0.1,transitoire,0.201610071982,0.00171417382927,0.984818690769,1,tanh,0.1,,,,0.1,0.1,0.1,0.1
1,0.00105922606249,0.999996907969,3.83511282256e-05,0.0343974542091,8,6.02708e-05,92.236159464,0.0339087990157,2.70515945368,0.00460609395808,0.993306274117,0.508427525373,0.176043008075,34.8309054308,882.613177618,0,7.75577742247,1,1,0.5,0.1,0.1,0.1,transitoire,0.181644615747,0.00560160767215,0.1,0.109990409347,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.1,0.000908472998687,0.999996341065,0.000122470879729,0.0469488046708,8,6.05583e-05,12.5915531844,0.0459883325755,2.11447339778,0.000825024382567,0.993306992365,0.516946270177,0.154626406762,37.30061775,-796.446062796,0,7.56124664925,1,1,0.5,0.1,0.1,0.1,transitoire,0.163928282786,0.00930187602403,0.287473110485,0.316147840479,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.2,0.0100867831816,0.999995751279,-0.000423940550366,0.0647324227544,9,6.08e-05,5.4636092877,0.0609502616588,2.24822958313,0.00446789373989,0.993306300371,0.863182321642,0.121806684483,37.30061775,-71.2794389669,0,19.1049294457,1,1,0.5,0.1,0.1,0.1,transitoire,0.148279604589,0.0264729201064,0.307139132757,0.337107112213,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.3,0.00387715556528,0.999995146143,-0.00012077459951,0.0849459055934,9,6.01625e-05,6.24022179964,0.0810540480735,2.26845159536,0.00777620814058,0.993305671866,0.791774126056,0.105618766202,37.30061775,7.76612511936,0,14.0441357601,1,1,0.5,0.1,0.1,0.1,transitoire,0.135569477739,0.0329844093582,0.461878807421,0.501076077331,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.4,0.00865502033892,0.999994533448,-0.000315646369697,0.0947981859793,6,5.93458999999e-05,3.7072665971,0.0906814318296,2.38092668052,0.00934797070496,0.993305373246,0.80818583588,0.0923464430431,37.30061775,-25.3295520254,0,11.1030082305,1,1,0.5,0.1,0.1,0.1,transitoire,0.124651282714,0.0323048396704,0.576824198968,0.617401473186,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.5,-0.00099125151568,0.999993921154,-0.000271770319655,0.102548343082,6,5.79916e-05,3.17174194747,0.0994154096313,2.46689957472,0.0157542471319,0.993304155979,0.81480208823,0.0847198352428,29.5355187624,-5.35524649628,0,10.6192062116,1,1,0.5,0.1,0.1,0.1,transitoire,0.114770541616,0.030050706373,0.660123029066,0.704020980808,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.6,-0.0150272999412,0.999993317298,-0.000326991333961,0.105359010219,9,5.81208000001e-05,1.66030995428,0.102277282663,2.53154524487,0.0238749256601,0.993302612639,0.866792741365,0.0794358373085,29.5355187624,-15.114319932,0,15.1599263189,1,1,0.5,0.1,0.1,0.1,chronique,0.105697543964,0.0302994755645,0.679846122902,0.721235017592,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.7,-0.0218220364878,0.999992729899,-0.000239443865731,0.108025841341,8,5.77e-05,3.24156150294,0.104858157775,2.55259638114,0.0238879594444,0.993302610162,0.773643062213,0.0701807947368,29.5355187624,15.8125154867,0,21.2848330751,1,1,0.5,0.1,0.1,0.1,transitoire,0.0975517476128,0.0310348992853,0.873680306115,0.919995995401,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.8,-0.0550193169924,0.99999216686,-0.000114423346595,0.112326928002,8,5.73125e-05,1.55958935342,0.109448614634,2.69391938098,0.0641123780103,0.993294960273,0.830579321565,0.0712420195658,29.5355187624,-16.8197214953,0,51.9429411159,1,1,0.5,0.1,0.1,0.1,chronique,0.0902793647943,0.0309142866872,0.83146179048,0.870435932507,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.9,-0.0397300055952,0.999991635872,0.000346121984608,0.110346743886,9,5.84916999999e-05,2.12410665041,0.106317784445,2.67238508944,0.0291626451565,0.993301607515,0.661942020379,0.0593654475876,29.5355187624,5.64517296999,0,34.7990733524,0.706164070648,1,0.841531973301,0.1,0.1,0.1,transitoire,0.0837245712499,0.033588321878,1,0.998056526485,tanh,0.1,,,,0.1,0.1,0.1,0.18415319733
2,-0.00776281420932,0.999991144313,0.000264698088969,0.115105207395,9,6.07959000001e-05,76.3318131705,0.112938128728,2.79681492209,0.028802015814,0.99330167607,0.640507564003,0.0600920876594,38.894777644,742.077065201,0,26.1636953183,0.708864312764,1,0.841531973301,0.2,0.2,0.5,transitoire,0.0780391798751,0.0295600682643,0.116661067351,0.120709632838,tanh,0.1,,,,0.419021690943,0.262610965034,0.2,0.36830639466
2.1,-0.011816410897,0.999990699156,0.000434919315065,0.112345148785,7,6.21041e-05,6.69943503998,0.109245601743,2.18844783624,0.0517346724776,0.993297315192,0.623897538295,0.0586271321703,38.9866202921,-696.323781305,0,20.1104522824,0.713844681274,1,0.841531973301,0.3,0.1,0.5,transitoire,0.0726000673488,0.0205170106459,0.169624125191,0.175129495183,tanh,0.1,,,,0.427443550075,0.279712654685,0.3,0.55245959199
2.2,-0.00615997272864,0.999990306867,-0.00106609043025,0.113302554901,8,5.97375000001e-05,5.80732743548,0.107402847754,2.23046307023,0.0529327175412,0.993297087294,0.640768087523,0.04624085338,38.9866202921,-8.92107604496,0,16.3318978497,0.715101526508,1,0.841531973301,0.3,0.2,0.6,transitoire,0.0669814214656,0.0458732031438,0.215006702685,0.221442337917,tanh,0.1,,,,0.430430984481,0.250520270206,0.3,0.55245959199
2.3,-0.0236448152641,0.99998997332,-0.00036756535206,0.117438003737,8,5.94833e-05,7.25612807517,0.116415224875,2.26803323603,0.106530958708,0.993286883696,0.677059815235,0.0457674444874,39.0979588991,14.4880063969,0,15.1861604598,0.723165074209,1,0.841531973301,0.3,0.2,0.6,transitoire,0.0639531355705,0.0301863104486,0.476727269121,0.484333471508,tanh,0.1,,,,0.426910517406,0.25532478575,0.3,0.55245959199
2.4,-0.0142312627686,0.999989703697,-0.000833794467911,0.116098934788,8,5.97292e-05,3.42509997848,0.113234183414,2.45745483455,0.0606059584596,0.99329562747,0.665515749928,0.0375993511293,39.0979588991,-38.310280967,0,14.1906395206,0.727612696992,1,0.841531973301,0.3,0.2,0.6,transitoire,0.0599727268493,0.027216430332,0.570112823772,0.582454526183,tanh,0.1,,,,0.415643859902,0.247624672957,0.3,0.55245959199
2.5,-0.0233677507979,0.999989502415,-0.00040738684297,0.120169682,8,5.84125e-05,2.04297772592,0.119230039087,2.52955295252,0.0568383947247,0.993296344283,0.670715678207,0.0400588619753,33.6982049226,-13.8212225256,0,14.1591276811,0.733646722585,1,0.841531973301,0.3,0.2,0.6,transitoire,0.056152768591,0.0232146538598,0.594368733418,0.609310892752,tanh,0.1,,,,0.400131974725,0.22440253012,0.3,0.55245959199
2.6,-0.0302790504095,0.999989373032,-0.000194797603395,0.116984631444,9,5.73875000001e-05,2.74983537188,0.115891748723,2.55278491786,0.0610552488174,0.993295541983,0.643040114831,0.0380997839317,33.6982049226,7.0685764596,0,14.1277554822,0.739279273118,1,0.841531973301,0.3,0.2,0.7,transitoire,0.0523946640407,0.0236019249761,0.758152413676,0.776886177588,tanh,0.1,,,,0.378439287588,0.218155587798,0.3,0.55245959199
2.7,-0.0610342937175,0.999989318186,-8.0800725176e-05,0.117630193896,5,5.73167000001e-05,0.666578955792,0.116645803308,2.67454086902,0.106530958708,0.993286883696,0.680423850804,0.0505272403427,33.6982049226,-20.8325641609,0,12.1408297516,0.739469313086,1,0.841531973301,0.3,0.2,0.7,chronique,0.0490433516347,0.0214114794415,0.756065270187,0.772338693287,tanh,0.1,,,,0.354191504353,0.228890444419,0.3,0.55245959199
2.8,-0.0460942622,0.999989339513,0.000280776396145,0.110393802936,9,7.00957999999e-05,2.33827332732,0.108812097267,2.67917864146,0.0606059584596,0.99329562747,0.625476256188,0.0399398560034,33.6982049226,16.7169437153,0,9.90820842985,0.744099167969,1,0.841531973301,0.3,0.2,0.7,transitoire,0.0458519348265,0.0233144706462,0.883960438551,0.900103161127,tanh,0.1,,,,0.328644626118,0.248415004818,0.3,0.55245959199
2.9,-0.0692252879103,0.999989437598,0.000144666086902,0.115274237761,9,6.13e-05,1.78976329495,0.11438434013,2.77565428779,0.0999133676476,0.993288144333,0.658216059682,0.0434642776933,33.6982049226,-5.48510032372,0,9.94417112304,0.745451268518,1,0.841531973301,0.3,0.2,0.7,chronique,0.0431318989956,0.0208910208503,1,0.988638294723,tanh,0.1,,,,0.303720593221,0.262927202617,0.3,0.55245959199
3,-0.00651940054243,0.999989611912,0.000329420693589,0.111306173204,8,0.000108175,54.9659880341,0.110081473063,2.86407456346,0.104836786906,0.993287206454,0.638521392677,0.033462129634,36.7364596528,531.762247391,0,10.6183517119,0.744973315893,1,0.841531973301,0.3,0.2,0.8,transitoire,0.040489990764,0.0236197227652,0.153663035514,0.156017492268,tanh,0.1,,,,0.280402610913,0.267950807931,0.3,0.55245959199
3.1,-0.0141766768884,0.999989860773,0.000181013527973,0.115670110326,9,0.0001084041,5.21971355725,0.114708628069,2.26550340741,0.0882653873286,0.993290362679,0.619843362763,0.0500861591791,36.7364596528,-497.462744768,0,9.69391500038,0.746343242459,1,0.841531973301,0.3,0.2,0.8,transitoire,0.0383305695089,0.0262977367988,0.192573806965,0.195035040618,tanh,0.1,,,,0.261227342437,0.292412952315,0.3,0.55245959199
3.2,-0.00840575610386,0.999990181307,-0.000935732179949,0.106407838511,8,0.0001180417,5.300242077,0.103781652224,2.29680143115,0.0925324036101,0.993289550115,0.618544781686,0.0319577987885,36.7364596528,0.805285197484,0,8.91755052275,0.746395834004,1,0.841531973301,0.3,0.2,0.8,transitoire,0.0366013315019,0.0317845350437,0.304059257349,0.305561003514,tanh,0.1,,,,0.251927604678,0.260306859862,0.3,0.55245959199
3.3,-0.00921333251208,0.999990569422,-0.000561352284033,0.114307855114,8,0.0001074791,1.41256463263,0.113377755937,2.38091476288,0.0870532078005,0.993290593495,0.613924902161,0.0261501933803,36.7364596528,-38.8767744438,0,8.5629448454,0.746661009937,1,0.841531973301,0.3,0.2,0.8,chronique,0.0354839611552,0.0258622896779,0.30440437665,0.305416232456,tanh,0.1,,,,0.259426092644,0.260035486392,0.3,0.55245959199
3.4,-0.0151223416914,0.999991019793,-0.000618089880819,0.11534808839,7,0.0001151084,4.7171454171,0.11427913683,2.38515916423,0.0932459915244,0.993289414217,0.626380899367,0.0241819611025,36.7364596528,33.0458078447,0,8.23546234926,0.748133906913,1,0.841531973301,0.3,0.2,0.8,transitoire,0.0340045482139,0.0261292197429,0.542837953294,0.546676257457,tanh,0.1,,,,0.237387878737,0.247229082865,0.3,0.55245959199
3.5,-0.0251712693062,0.99999152585,-0.000607131271692,0.115690937117,8,0.0001074,1.40980091692,0.11468740552,2.56027985498,0.100677083874,0.993287998859,0.635331561635,0.0318805976892,32.9244299212,-33.0734450017,0,8.11513920747,0.750905289051,1,0.841531973301,0.3,0.2,0.9,chronique,0.0326944309719,0.017483354647,0.577405376808,0.580898728777,tanh,0.1,,,,0.212023781981,0.245714887497,0.3,0.55245959199
3.6,-0.0308641024041,0.999992079787,-0.000105966519729,0.111997175401,7,0.0001060583,2.88828988312,0.1112915738,2.58949789514,0.0776028896164,0.993292392701,0.643240034422,0.0314399795541,32.9244299212,14.784889662,0,7.9982813673,0.753889310485,1,0.841531973301,0.3,0.2,0.9,transitoire,0.0308236562465,0.0185461092139,0.723835616557,0.732416686177,tanh,0.1,,,,0.17409955373,0.242554329012,0.3,0.55245959199
3.7,-0.0603565421563,0.999992672574,3.36475230879e-05,0.111840364356,8,0.0001041083,2.22574181815,0.111116996018,2.69872225881,0.150992212001,0.993278407818,0.653585060612,0.0396477331238,32.9244299212,-6.62548064973,0,7.74836813305,0.755764232578,1,0.841531973301,0.3,0.2,0.9,transitoire,0.029224979359,0.0164687210478,0.858055818672,0.866394788056,tanh,0.1,,,,0.197867126813,0.244774981451,0.3,0.55245959199
3.8,-0.0490852862548,0.999993293982,0.000239528117611,0.106698756419,8,0.000103975,2.04512777697,0.105852301506,2.7992883076,0.111192601631,0.993285995521,0.635867701876,0.0359804083482,32.9244299212,-1.80614041175,0,7.51359921283,0.758476739902,1,0.861221451452,0.3,0.2,0.9,transitoire,0.0276199791069,0.0183815743867,1,0.98303784546,tanh,0.1,,,,0.172768083189,0.260768048591,0.3,0.558366435435
3.9,-0.0342908108446,0.999993932617,0.000199825228584,0.108787926304,9,0.0001043292,0.999711414283,0.108058884673,2.9051743646,0.112055065033,0.993285831185,0.609729536586,0.0317095139133,32.9244299212,-10.4541636269,0,7.17356196294,0.760918448383,1,0.846907890988,0.3,0.2,0.9,chronique,0.0263285071471,0.0201242218918,0.962053666457,0.956449556779,tanh,0.1,,,,0.176640299929,0.265038600396,0.3,0.554072367296
4,-0.00576153699548,0.99999457597,0.000143101682717,0.110183381517,9,0.0001071458,64.5334728302,0.109385162023,2.88081083957,0.163170112497,0.993276084428,0.596705552196,0.0327645108642,36.4365457999,635.337614159,0,7.51359921283,0.760206705839,1,0.841695484878,0.3,0.2,0.9,transitoire,0.0253055941838,0.0187099024221,0.128975802534,0.129662547714,tanh,0.1,,,,0.202184507962,0.27478899262,0.3,0.552508645464
