t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
1.3,0.0055260339097,0.999995146143,-0.000345675337713,0.0763750555215,8,6.29041e-05,5.01254571419,0.073187485085,2.2176324644,0.104337374341,0.993287301595,0.569574968269,0.099095299092,25.061460415,-53.2810617747,0,4.49840404138,1,1,0.5,0.1,0.1,0.1,transitoire,0.128919810166,0.029824511074,0.411445643947,0.447109174108,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.4,0.00527816087055,0.999994533448,-0.000555564513172,0.0849923020921,2,6.3525e-05,4.36153762366,0.0813702283626,2.27809823826,0.0362569434873,0.993300258749,0.632089484664,0.084279612242,25.061460415,-6.51008090539,0,3.6375634014,1,1,0.5,0.1,0.1,0.1,transitoire,0.118413790035,0.0352630767702,0.567645841758,0.609123530814,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.5,0.00179844742381,0.999993921154,-0.000504385991579,0.0919567941852,0,6.285e-05,2.54072838251,0.0889645563094,2.37120325394,0.0405234778545,0.993299447467,0.605348052072,0.0758592036268,20.137321577,-18.2080924115,0,4.49840404138,1,1,0.5,0.1,0.1,0.1,transitoire,0.109393457173,0.0335342535466,0.64432146703,0.684406942954,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.6,-0.00162202379231,0.999993317298,-0.000560180539695,0.0956973761932,0,6.0775e-05,1.73163546688,0.0927798799681,2.42065661902,0.034491040149,0.993300594507,0.590028416982,0.0687020628978,20.137321577,-8.0909291563,0,5.89300096249,1,1,0.5,0.1,0.1,0.1,chronique,0.10113685174,0.0324347888419,0.599918134517,0.634473904706,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.7,-0.00561570219745,0.999992729899,-0.000582177378115,0.0983955925598,0,6.17417e-05,2.99081541355,0.0958157133393,2.40292930943,0.0263307309073,0.993302145842,0.520565748107,0.0614211691655,20.137321577,12.5917994667,0,4.49840404138,1,1,0.5,0.1,0.1,0.1,transitoire,0.0936179496731,0.0321967805076,0.781407873143,0.822741154495,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.8,-0.0182065044332,0.99999216686,-0.000691120685178,0.101328001415,0,6.15792e-05,2.58884282565,0.0989310524561,2.51089229677,0.0633392793636,0.993295107383,0.54272421532,0.0609650508897,20.137321577,-4.01972587907,0,4.26928258677,1,1,0.5,0.1,0.1,0.1,transitoire,0.0868318971464,0.027415766087,0.983451265476,0.998336399062,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.9,-0.0370579210785,0.999991635872,-0.000517122900693,0.101021757118,9,6.32792e-05,1.32890683186,0.0982758385881,2.63096435561,0.0697510797956,0.99329388721,0.660006581645,0.061851371145,20.137321577,-12.5993599379,0,7.76676153395,0.729659372299,1,0.859850524938,0.1,0.1,0.1,chronique,0.0803419687187,0.0263055697097,0.978071513208,0.994850178546,tanh,0.1,,,,0.1,0.1,0.1,0.185985052494
2,-0.00338119966501,0.999991144313,-0.000234613188576,0.100844590525,9,6.32375e-05,89.6508146765,0.0972596581061,2.63519076857,0.0621180457159,0.99329533976,0.630130933439,0.0545762919304,34.0400201969,883.219078447,0,8.68979203245,0.729044665027,1,0.853265783731,0.2,0.2,0.5,transitoire,0.0744122174236,0.0270756574255,0.1,0.103944347409,tanh,0.1,,,,0.421970413958,0.276057552773,0.2,0.370653156746
2.1,-0.00869628792025,0.999990699156,-0.000248969171597,0.10228849467,9,6.30917e-05,8.24909638806,0.0993888195864,2.14840296681,0.0857356306895,0.993290844372,0.605065474444,0.0460234309778,34.6168584619,-814.017182885,0,7.76676153395,0.731014981534,1,0.841531973301,0.3,0.2,0.5,transitoire,0.0691370482753,0.0250744467091,0.223849250521,0.231858903057,tanh,0.1,,,,0.427832842668,0.2926347593,0.3,0.55245959199
2.2,-0.0111557948895,0.999990306867,-0.00113567968788,0.103597194422,8,6.32542e-05,7.46893338067,0.100014724266,2.22351564911,0.0867774799554,0.993290645997,0.592985860428,0.0383749265318,34.7272862409,-7.80163007393,0,7.02099121026,0.733624114524,1,0.841531973301,0.3,0.2,0.6,transitoire,0.0642292991845,0.037238965479,0.462447195972,0.47699738069,tanh,0.1,,,,0.427701654279,0.260421491153,0.3,0.55245959199
2.3,-0.00881179335086,0.99998997332,-0.00080682629437,0.106534770384,5,6.43917e-05,4.87402940708,0.104692337247,2.363950537,0.0982896795372,0.993288453607,0.583380404389,0.0345214221379,34.7272862409,-25.9490397359,0,6.8599135488,0.735481552267,1,0.841531973301,0.3,0.2,0.6,transitoire,0.0607854865044,0.028279262801,0.348938623782,0.356380291257,tanh,0.1,,,,0.422209585971,0.262835416422,0.3,0.55245959199
2.4,-0.0137667932621,0.999989703697,-0.000880570062477,0.105982319083,9,6.23791e-05,3.37228534671,0.104109712855,2.30552722513,0.0936620882065,0.993289334973,0.576867212568,0.0333740892186,34.7272862409,-15.0174406037,0,6.70606110712,0.738299257869,1,0.841531973301,0.4,0.2,0.6,transitoire,0.056969278878,0.0316551334416,0.471145634848,0.483359502513,tanh,0.1,,,,0.411183858532,0.234994680982,0.4,0.736612789321
2.5,-0.0134116398502,0.999989502415,-0.00096811538882,0.106416954661,5,6.48916e-05,2.87072836225,0.104564687009,2.38038260294,0.0689702600195,0.993294035813,0.547151509623,0.0282015123018,30.0922042817,-5.01556984455,0,6.65209097076,0.740908704643,1,0.841531973301,0.4,0.2,0.6,transitoire,0.0538047616655,0.0280081053852,0.606206063784,0.618312059771,tanh,0.1,,,,0.396945135312,0.224226768236,0.4,0.736612789321
2.6,-0.0154318884023,0.999989373032,-0.000859891076507,0.106818230967,8,6.24458e-05,2.21914703663,0.105197173406,2.46286932392,0.0571400925607,0.993296286885,0.531481403291,0.0315015835318,30.0922042817,-6.51581325618,0,6.59898259835,0.743562708844,1,0.841531973301,0.4,0.2,0.7,transitoire,0.0506649339298,0.0243333569793,0.715130678096,0.730380337885,tanh,0.1,,,,0.379375772516,0.220714332965,0.4,0.736612789321
2.7,-0.0249064580242,0.999989318186,-0.000716680642273,0.106533107778,5,6.23959e-05,1.94547909244,0.104796415066,2.53066152719,0.0986765245311,0.993288379923,0.510651399824,0.0367488222656,30.0922042817,-2.73667944193,0,5.52722398243,0.745686766797,1,0.841531973301,0.4,0.2,0.7,chronique,0.0475451090952,0.0213578346375,0.826188603408,0.844542192111,tanh,0.1,,,,0.358660997302,0.227126207878,0.4,0.736612789321
