t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
0,-8.65494231771e-06,1,0,0.000248557649834,0,3.9825e-05,0,0.000104524474328,1.83942789474,0,1,0.1,0.502617222067,0,0,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.5025974,-1.98220668457e-05,0.1,0.1,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.1,-2.86880858408e-05,0.999999965725,6.0511951104e-07,0.000695447591743,6,0.00017275,7.00715689152,0.000310998273806,1.89808699478,0,1,0.1,0.452345906729,0,70.0715689152,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.45233445279,-1.14539393987e-05,0.237968630851,0.256805471455,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.2,0.000140196968772,0.999999863322,1.59647947767e-06,0.00155567948613,6,4.32e-05,3.88300675602,0.000752526509881,1.97722319411,0,1,0.1,0.407019855197,0,-31.241501355,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.407099862117,8.00069201837e-05,0.337416805059,0.366785144402,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.3,0.000510553291784,0.999999694048,2.5413565833e-06,0.00302785839721,6,4.2825e-05,1.21369166943,0.00161056478299,2.03637407909,1.1854018756e-05,0.993307146824,0.1,0.366112260952,0,-26.6931508659,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.366399103906,0.000286842954319,0.350925102337,0.384396816988,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.4,0.00130253475225,0.999999459984,2.34747079041e-06,0.00530433553166,6,4.30625e-05,4.39052557934,0.00312176004201,2.05005646438,6.47446758218e-05,0.993307136778,0.1,0.329241069527,0,31.7683390991,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.329802793253,0.000561723725974,0.518288777239,0.57028813357,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.5,0.00270406021216,0.999999164012,1.68324187319e-06,0.00853233089,3,6.31250000001e-05,2.82337562239,0.00555631507489,2.14608453204,0.000246661254878,0.993307102224,0.1,0.295685208523,0,-15.6714995695,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.296883387993,0.00119817946934,0.584227868617,0.642820107722,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.6,0.00423725478678,0.999998809787,-1.14840343329e-05,0.0132043403176,6,5.97957999999e-05,3.09832491757,0.00925799183945,2.1882615101,0.000251251518887,0.993307101352,0.1,0.265338849616,0,2.7494929518,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.26735068349,0.00201183387419,0.656693219764,0.722541138437,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.7,0.00656205821898,0.999998401692,-2.52686698664e-05,0.0189764526435,3,5.91583999999e-05,4.38599566596,0.0142831885794,2.23416851582,0.000204771687305,0.99330711018,0.1,0.237688849447,0,12.8767074839,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.240869340262,0.0031804908145,0.801392840774,0.877311877101,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.8,0.00835245096028,0.999997944798,-4.517867308e-05,0.0260945628818,6,5.88333e-05,3.98269725263,0.0208361634115,2.31930978507,0.000559579044744,0.993307042786,0.1,0.212066818657,0,-4.03298413325,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.217127274253,0.00506045559636,0.877220113872,0.946629908545,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.9,0.010284884812,0.999997444801,-6.71971695969e-05,0.0342091626055,6,5.94958000001e-05,3.27674634985,0.0287486015746,2.36761001557,0.000518173384235,0.993307050651,0.538162588287,0.188673051401,5.69884123543,-7.05950902786,0,5.13397780577,1,1,0.5,0.1,0.1,0.1,transitoire,0.195991291799,0.00731824039721,0.919905388532,0.97610882005,tanh,0.1,,,,0.1,0.1,0.1,0.1
1,0.00161733664859,0.999996907969,-9.64087424663e-05,0.0424674513889,1,6.02958e-05,78.3204792318,0.0376182655877,2.39812526622,0.0163997853696,0.993304033307,0.466547489904,0.16747621064,29.9060539009,750.43732882,0,6.35914904975,1,1,0.5,0.1,0.1,0.1,transitoire,0.177297180259,0.00982096961863,0.112412805809,0.123621527915,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.1,0.00210569878567,0.999996341065,-0.000132786073729,0.050373534188,1,6.23084e-05,8.37589071396,0.0465265984976,1.96538912578,0.000714045542329,0.993307013445,0.456936903945,0.150234441507,31.2345089458,-699.445885179,0,5.52499969104,1,1,0.5,0.1,0.1,0.1,transitoire,0.160353139802,0.0101186982949,0.18392316633,0.201962347763,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.2,0.00420387865621,0.999995751279,2.16412929666e-05,0.0620040155254,7,6.24458e-05,6.65439370281,0.0576626942084,2.01045660441,0.000667934099591,0.993307022204,0.544989105143,0.125675958279,31.2345089458,-17.2149701114,0,4.88430960875,1,1,0.5,0.1,0.1,0.1,transitoire,0.145127321686,0.0194513634061,0.257563462255,0.282337992105,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.3,0.00501632369723,0.999995146143,-1.69071274773e-05,0.0765704698784,7,6.21959e-05,5.9915064998,0.071748161259,2.056888652,0.00200636193106,0.993306767968,0.606908367616,0.105541464026,31.2345089458,-6.6288720301,0,4.27667366146,1,1,0.5,0.1,0.1,0.1,transitoire,0.13217069859,0.0266292345636,0.400023023415,0.434450173176,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.4,0.00781112044783,0.999994533448,-5.74903476503e-05,0.0872532826218,9,6.18042e-05,3.3531810743,0.0834492604857,2.14135322201,0.00104834741904,0.993306949945,0.732771550765,0.0878462477119,31.2345089458,-26.383254255,0,3.80349696569,1,1,0.5,0.1,0.1,0.1,transitoire,0.121083967496,0.0332377197838,0.472677032668,0.508024950729,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.5,0.00299657921469,0.999993921154,-0.000211780089171,0.101814091303,9,6.04459e-05,4.0040838547,0.097147994432,2.18764842526,0.0223517301513,0.99330290215,0.674738459503,0.0688573143754,25.089480135,6.50902780394,0,3.60832673035,1,1,0.5,0.1,0.1,0.1,transitoire,0.111634588329,0.0427772739534,0.612695761473,0.652527781333,tanh,0.1,,,,0.1,0.1,0.1,0.1
